"","PRICE","TAVG","TMAX","TMIN","PRCPCUM","PRCPMAX","MAXDAYSNOPRCP","WINTER","SPRING","SUMMER","PAVG1","PMAX1","PMIN1","PAVG2","PMAX2","PMIN2","PAVG3","PMAX3","PMIN3","PAVG4","PMAX4","PMIN4"
"1233",4,14.52,26.8,4,1.8,1.8,134,1,0,0,4,4,3.8,4,4,3.8,4,4,3.8,5,5,4.5
"1234",4,14.49,26.8,4,1.8,1.8,139,1,0,0,4,4,3.8,4,4,3.8,4,4,3.8,4,4,3.8
"1235",5,22.94,31.4,11.7,0,0,139,1,0,0,5,5,4.5,5,5,4.5,4,4,3.8,4,4,3.8
"1236",4,14.52,26.8,4,1.8,1.8,139,1,0,0,4,4,3.8,4,4,3.8,4,4,3.8,4,4,3.8
"1237",5,22.89,31.4,11.7,0,0,139,1,0,0,5,5,4.5,5,5,4.5,5,5,4.5,4,4,3.8
"1238",4,14.5,26.8,4,1.8,1.8,139,1,0,0,4,4,3.8,4,4,3.8,4,4,3.8,5,5,4.5
"1239",5,22.9,31.4,11.7,0,0,139,1,0,0,5,5,4.5,5,5,4.5,5,5,4.5,5,5,4.5
"1240",5,22.89,31.4,11.7,0,0,139,1,0,0,5,5,4.5,5,5,4.5,5,5,4.5,4,4,3.8
"1241",4,14.51,26.8,4,1.8,1.8,139,1,0,0,4,4,3.8,4,4,3.8,4,4,3.8,4.5,4.5,4.15
"1242",4,14.55,26.8,4,1.8,1.8,138,1,0,0,4,4,3.8,4,4,3.8,4,4,3.8,4.5,4.5,4.15
"1243",5,22.98,31.4,11.7,0,0,139,1,0,0,5,5,4.5,5,5,4.5,5,5,4.5,4.5,4.5,4.15
"1244",4,14.57,26.8,4,1.8,1.8,137,1,0,0,4,4,3.8,4,4,3.8,4,4,3.8,4.5,4.5,4.15
"1245",5,22.98,31.4,11.7,0,0,139,1,0,0,5,5,4.5,5,5,4.5,5,5,4.5,4.5,4.5,4.15
"1246",4,14.59,26.8,4,1.8,1.8,139,1,0,0,4,4,3.8,4,4,3.8,4,4,3.8,5,5,4.5
"1247",5,23.02,31.4,11.7,0,0,139,1,0,0,5,5,4.5,5,5,4.5,5,5,4.5,5,5,4.5
"1248",4,14.59,26.8,4,1.8,1.8,138,1,0,0,4,4,3.8,4,4,3.8,4,4,3.8,4,4,3.8
"1249",5,23.04,31.4,11.7,0,0,139,1,0,0,5,5,4.5,5,5,4.5,5,5,4.5,4,4,3.8
"1250",4,14.61,26.8,4,1.8,1.8,138,1,0,0,4,4,3.8,4,4,3.8,4,4,3.8,4.5,4.5,4.15
"1251",5,23.19,31.4,11.7,0,0,139,1,0,0,5,5,4.5,5,5,4.5,5,5,4.5,4.5,4.5,4.15
"1252",4,14.66,26.8,4,1.8,1.8,137,1,0,0,4,4,3.8,4,4,3.8,4,4,3.8,4.5,4.5,4.15
"1253",5,23.2,31.4,11.7,0,0,139,1,0,0,5,5,4.5,5,5,4.5,5,5,4.5,4.5,4.5,4.15
"1254",4,14.75,26.8,4,1.8,1.8,136,1,0,0,4,4,3.8,4,4,3.8,4,4,3.8,4.5,4.5,4.15
"1255",5,23.25,31.4,11.7,0,0,139,1,0,0,5,5,4.5,5,5,4.5,5,5,4.5,4.5,4.5,4.15
"1256",4,14.78,26.8,4,1.8,1.8,135,1,0,0,4,4,3.8,4,4,3.8,4,4,3.8,4,4,3.8
"1257",5,23.26,31.4,11.7,0,0,139,1,0,0,5,5,4.5,5,5,4.5,5,5,4.5,5,5,4.5
"1258",4,14.81,26.8,4,1.8,1.8,132,1,0,0,4,4,3.8,4,4,3.8,4,4,3.8,4,4,3.8
"1259",5,23.31,31.4,11.7,0,0,139,1,0,0,5,5,4.5,5,5,4.5,5,5,4.5,5,5,4.5
"1260",4,14.86,26.8,4,1.8,1.8,131,1,0,0,4,4,3.8,4,4,3.8,4,4,3.8,4,4,3.8
"1261",5,23.35,31.4,11.7,0,0,139,1,0,0,5,5,4.5,5,5,4.5,5,5,4.5,5,5,4.5
"1262",4,14.93,28,4,1.8,1.8,130,1,0,0,4,4,3.8,4,4,3.8,4,4,3.8,4,4,3.8
"1263",5,23.35,31.4,11.7,0,0,139,1,0,0,5,5,4.5,5,5,4.5,5,5,4.5,5,5,4.5
"1264",4,15,29.3,4,1.8,1.8,129,1,0,0,4,4,3.8,4,4,3.8,4,4,3.8,4,4,3.8
"1265",5,23.39,31.4,11.7,0,0,139,1,0,0,5,5,4.5,5,5,4.5,5,5,4.5,5,5,4.5
"1266",4,15.06,29.3,4,1.8,1.8,128,1,0,0,4,4,3.8,4,4,3.8,4,4,3.8,4,4,3.8
"1267",5,23.39,31.4,11.7,0,0,139,1,0,0,5,5,4.5,5,5,4.5,5,5,4.5,5,5,4.5
"1268",4,15.3,31,4,1.8,1.8,125,1,0,0,4,4,3.8,4,4,3.8,4,4,3.8,4,4,3.8
"1269",5,23.51,33.8,11.7,0,0,139,1,0,0,5,5,4.5,5,5,4.5,5,5,4.5,5,5,4.5
"1270",4,15.38,31,4,1.8,1.8,124,1,0,0,4,4,3.8,4,4,3.8,4,4,3.8,4,4,3.8
"1271",5,23.55,33.8,11.7,0,0,139,1,0,0,5,5,4.5,5,5,4.5,5,5,4.5,5,5,4.5
"1272",4,15.45,31,4,1.8,1.8,123,1,0,0,4,4,3.8,4,4,3.8,4,4,3.8,4,4,3.8
"1273",5,23.56,33.8,11.7,0,0,139,1,0,0,5,5,4.5,5,5,4.5,5,5,4.5,5,5,4.5
"1274",4,15.5,31,4,1.8,1.8,122,1,0,0,4,4,3.8,4,4,3.8,4,4,3.8,4,4,3.8
"1275",5,23.6,33.8,11.7,0,0,139,1,0,0,5,5,4.5,5,5,4.5,5,5,4.5,5,5,4.5
"1276",4,15.55,31,4,1.8,1.8,121,1,0,0,4,4,3.8,4,4,3.8,4,4,3.8,4,4,3.8
"1277",5,23.62,33.8,11.7,0,0,139,1,0,0,5,5,4.5,5,5,4.5,5,5,4.5,5,5,4.5
"1278",4,15.72,31,4,1.8,1.8,118,1,0,0,4,4,3.8,4,4,3.8,4,4,3.8,4,4,3.8
"1279",4,23.82,34.6,11.7,0,0,139,1,0,0,5,5,4.5,5,5,4.5,5,5,4.5,4.5,4.5,4.15
"1280",3,17.31,32,2,0,0,139,1,0,0,4,4,3.5,4,4,3.8,4.5,4.5,4.15,4.5,4.5,4.15
"1281",4,23.88,34.6,11.7,0,0,139,1,0,0,4,4,3.5,5,5,4.5,5,5,4.5,4.5,4.5,4.15
"1282",3,17.36,32,2,0,0,139,1,0,0,3,3,2.8,4,4,3.5,4,4,3.8,4.5,4.5,4.15
"1283",4,23.93,34.6,11.7,0,0,139,1,0,0,4,4,3.5,4,4,3.5,5,5,4.5,4.5,4.5,4.15
"1284",3,17.38,32.4,2,0,0,139,1,0,0,3,3,2.8,3,3,2.8,4,4,3.5,4,4,3.8
"1285",4,23.96,34.6,11.7,0,0,139,1,0,0,4,4,3.5,4,4,3.5,4,4,3.5,4,4,3.8
"1286",3,17.51,32.4,2,0,0,139,1,0,0,3,3,2.8,3,3,2.8,3,3,2.8,4,4,3.5
"1287",4,24.08,34.6,11.7,0,0,139,1,0,0,4,4,3.5,4,4,3.5,4,4,3.5,4,4,3.5
"1288",3,17.53,32.4,2,0,0,139,1,0,0,3,3,2.8,3,3,2.8,3,3,2.8,3,3,2.8
"1289",3.5,24.1,34.6,11.7,0,0,139,1,0,0,4,4,3.5,4,4,3.5,4,4,3.5,4,4,3.5
"1290",3,17.55,32.4,2,0,0,139,1,0,0,3,3,2.8,3,3,2.8,3,3,2.8,3,3,2.8
"1291",3.5,24.12,34.6,11.7,0,0,139,1,0,0,3.5,3.5,3,4,4,3.5,4,4,3.5,4,4,3.5
"1292",3,17.57,32.4,2,0,0,139,1,0,0,3,3,2.8,3,3,2.8,3,3,2.8,3,3,2.8
"1293",3.5,24.14,34.6,11.7,0,0,139,1,0,0,3.5,3.5,3,3.5,3.5,3,4,4,3.5,4,4,3.5
"1294",3,17.6,32.4,2,0,0,139,1,0,0,3,3,2.8,3,3,2.8,3,3,2.8,3,3,2.8
"1295",3.5,24.15,34.6,11.7,0,0,139,1,0,0,3.5,3.5,3,3.5,3.5,3,3.5,3.5,3,4,4,3.5
"1296",3,17.68,32.4,2,0,0,139,1,0,0,3,3,2.8,3,3,2.8,3,3,2.8,3,3,2.8
"1297",3.5,24.19,34.6,11.7,0,0,139,1,0,0,3.5,3.5,3,3.5,3.5,3,3.5,3.5,3,3.5,3.5,3
"1298",3,17.71,32.4,2,0,0,139,1,0,0,3,3,2.8,3,3,2.8,3,3,2.8,3,3,2.8
"1299",3.5,24.23,34.6,11.7,0,0,139,1,0,0,3.5,3.5,3,3.5,3.5,3,3.5,3.5,3,3.5,3.5,3
"1300",3,17.78,32.5,2,0,0,139,1,0,0,3,3,2.8,3,3,2.8,3,3,2.8,3,3,2.8
"1301",3.5,24.23,34.6,11.7,0,0,139,1,0,0,3.5,3.5,3,3.5,3.5,3,3.5,3.5,3,3.5,3.5,3
"1302",3,17.8,32.5,2,0,0,139,1,0,0,3,3,2.8,3,3,2.8,3,3,2.8,3,3,2.8
"1303",3.5,24.26,34.6,11.7,0,0,139,1,0,0,3.5,3.5,3,3.5,3.5,3,3.5,3.5,3,3.5,3.5,3
"1304",3,17.85,32.5,2,0,0,139,1,0,0,3,3,2.8,3,3,2.8,3,3,2.8,3,3,2.8
"1305",3.5,24.27,34.6,11.7,0,0,139,1,0,0,3.5,3.5,3,3.5,3.5,3,3.5,3.5,3,3.5,3.5,3
"1306",3,18.09,33.6,2,0,0,139,0,1,0,3,3,2.8,3,3,2.8,3,3,2.8,3.25,3.25,2.9
"1307",3.5,24.35,34.6,11.7,0,0,139,0,1,0,3.5,3.5,3,3.5,3.5,3,3.5,3.5,3,3.25,3.25,2.9
"1308",3,18.15,33.6,2,0,0,139,0,1,0,3,3,2.8,3,3,2.8,3,3,2.8,3.25,3.25,2.9
"1309",3.5,24.35,34.6,11.7,0,0,139,0,1,0,3.5,3.5,3,3.5,3.5,3,3.5,3.5,3,3.25,3.25,2.9
"1310",3,18.19,33.6,2,0,0,139,0,1,0,3,3,2.8,3,3,2.8,3,3,2.8,3.25,3.25,2.9
"1311",3.5,24.38,34.6,11.7,0,0,139,0,1,0,3.5,3.5,3,3.5,3.5,3,3.5,3.5,3,3.25,3.25,2.9
"1312",3,18.22,33.6,2,0,0,139,0,1,0,3,3,2.8,3,3,2.8,3,3,2.8,3,3,2.8
"1313",3.5,24.41,34.6,11.7,0,0,139,0,1,0,3.5,3.5,3,3.5,3.5,3,3.5,3.5,3,3.5,3.5,3
"1314",3,18.36,34.5,2,0,0,139,0,1,0,3,3,2.8,3,3,2.8,3,3,2.8,3,3,2.8
"1315",3.5,24.5,34.9,11.7,0,0,139,0,1,0,3.5,3.5,3,3.5,3.5,3,3.5,3.5,3,3.5,3.5,3
"1316",3,18.42,34.5,2,0,0,139,0,1,0,3,3,2.8,3,3,2.8,3,3,2.8,3,3,2.8
"1317",3.5,24.56,36.5,11.7,0,0,139,0,1,0,3.5,3.5,3,3.5,3.5,3,3.5,3.5,3,3.5,3.5,3
"1318",3,18.46,34.5,2,0,0,139,0,1,0,3,3,2.8,3,3,2.8,3,3,2.8,3,3,2.8
"1319",3.5,24.6,36.5,11.7,0,0,139,0,1,0,3.5,3.5,3,3.5,3.5,3,3.5,3.5,3,3.5,3.5,3
"1320",3,18.5,34.5,2,0,0,139,0,1,0,3,3,2.8,3,3,2.8,3,3,2.8,3,3,2.8
"1321",3.5,24.67,36.5,11.7,0,0,139,0,1,0,3.5,3.5,3,3.5,3.5,3,3.5,3.5,3,3.5,3.5,3
"1322",3,18.53,34.5,2,0,0,139,0,1,0,3,3,2.8,3,3,2.8,3,3,2.8,3,3,2.8
"1323",3.5,24.71,36.5,11.7,0,0,139,0,1,0,3.5,3.5,3,3.5,3.5,3,3.5,3.5,3,3.5,3.5,3
"1324",3,18.66,34.5,2,0,0,139,0,1,0,3,3,2.8,3,3,2.8,3,3,2.8,3,3,2.8
"1325",3.5,24.84,36.5,11.7,0,0,139,0,1,0,3.5,3.5,3,3.5,3.5,3,3.5,3.5,3,3.5,3.5,3
"1326",3,24.89,36.5,11.7,0,0,139,0,1,0,3.5,3.5,3,3.5,3.5,3,3.5,3.5,3,3.5,3.5,3
"1328",3,24.93,36.5,11.7,0,0,139,0,1,0,3,3,2.5,3.5,3.5,3,3.5,3.5,3,3.5,3.5,3
"1330",3,24.99,36.5,11.7,0,0,139,0,1,0,3,3,2.5,3,3,2.5,3.5,3.5,3,3.5,3.5,3
"1332",3,25.04,36.5,11.7,0,0,139,0,1,0,3,3,2.5,3,3,2.5,3,3,2.5,3.5,3.5,3
"1334",3,25.16,36.5,11.7,0,0,139,0,1,0,3,3,2.5,3,3,2.5,3,3,2.5,3,3,2.5
"1336",3,25.2,36.5,11.7,0,0,139,0,1,0,3,3,2.5,3,3,2.5,3,3,2.5,3,3,2.5
"1338",3,25.23,36.5,11.7,0,0,139,0,1,0,3,3,2.5,3,3,2.5,3,3,2.5,3,3,2.5
"1340",3,25.27,36.5,11.7,0,0,139,0,1,0,3,3,2.5,3,3,2.5,3,3,2.5,3,3,2.5
"1342",3,25.31,36.5,11.7,0,0,139,0,1,0,3,3,2.5,3,3,2.5,3,3,2.5,3,3,2.5
"1344",3,25.38,36.5,11.7,0,0,139,0,1,0,3,3,2.5,3,3,2.5,3,3,2.5,3,3,2.5
"1346",3,25.39,36.5,11.7,0,0,139,0,1,0,3,3,2.5,3,3,2.5,3,3,2.5,3,3,2.5
"1348",3,25.4,36.5,11.7,0,0,139,0,1,0,3,3,2.5,3,3,2.5,3,3,2.5,3,3,2.5
"1350",3,25.48,36.5,11.7,0.3,0.3,136,0,1,0,3,3,2.5,3,3,2.5,3.25,3.25,2.75,3.25,3.25,2.75
"1352",3,25.51,36.5,11.7,0.3,0.3,135,0,1,0,3,3,2.5,3,3,2.5,3,3,2.5,3.25,3.25,2.75
"1354",3,25.53,36.5,11.7,0.3,0.3,134,0,1,0,3,3,2.5,3,3,2.5,3,3,2.5,3,3,2.5
"1356",3,25.57,36.5,11.7,0.3,0.3,133,0,1,0,3,3,2.5,3,3,2.5,3,3,2.5,3,3,2.5
"1358",3,25.59,36.5,11.7,0.3,0.3,132,0,1,0,3,3,2.5,3,3,2.5,3,3,2.5,3,3,2.5
"1360",3,25.69,36.5,11.7,0.3,0.3,129,0,1,0,3,3,2.5,3,3,2.5,3,3,2.5,3,3,2.5
"1362",3,25.71,36.5,11.7,0.3,0.3,128,0,1,0,3,3,2.5,3,3,2.5,3,3,2.5,3,3,2.5
"1364",3,25.7,36.5,11.7,7.4,0.3,125,0,1,0,3,3,2.5,3,3,2.5,3,3,2.5,3,3,2.5
"1366",3,25.71,36.5,11.7,7.4,7.1,138,0,1,0,3,3,2.5,3,3,2.5,3,3,2.5,3.25,3.25,2.75
"1369",1.5,18.83,36.4,4,8.4,5.1,124,0,1,0,3.25,3.25,2.75,3.25,3.25,2.75,3.25,3.25,2.75,3.25,3.25,2.75
"1371",1.5,18.86,36.4,4,8.4,5.1,124,0,1,0,1.5,1.5,1,3.25,3.25,2.75,3.25,3.25,2.75,3.25,3.25,2.75
"1373",1.5,18.9,36.4,4,8.4,5.1,124,0,1,0,1.5,1.5,1,1.5,1.5,1,3.25,3.25,2.75,3.25,3.25,2.75
"1375",1.8,18.94,36.4,4,8.4,5.1,124,0,1,0,1.5,1.5,1,1.5,1.5,1,1.5,1.5,1,3.25,3.25,2.75
"1377",1.8,18.98,36.4,4,8.4,5.1,124,0,1,0,1.8,1.8,1.3,1.5,1.5,1,1.5,1.5,1,1.5,1.5,1
"1379",1.8,19.1,36.4,4,8.4,5.1,124,0,1,0,1.8,1.8,1.3,1.8,1.8,1.3,1.5,1.5,1,1.5,1.5,1
"1381",1.8,19.15,36.4,4,8.4,5.1,124,0,1,0,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3,1.5,1.5,1
"1383",1.8,19.19,36.4,4,8.4,5.1,124,0,1,0,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3
"1385",1.8,19.22,36.4,4,8.4,5.1,124,0,1,0,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3
"1387",1.8,19.26,36.4,4,8.4,5.1,124,0,1,0,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3
"1389",1.8,19.43,36.4,4,6.6,5.1,124,0,1,0,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3
"1391",1.8,19.51,36.4,4,6.6,5.1,123,0,1,0,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3
"1393",1.8,19.58,36.5,4,6.6,5.1,122,0,1,0,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3
"1395",1.8,19.65,37.6,4,6.6,5.1,121,0,1,0,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3
"1397",1.8,19.72,37.9,4,6.6,5.1,120,0,1,0,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3
"1399",1.8,19.95,37.9,4,8.6,5.1,117,0,1,0,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3
"1401",1.8,20.02,37.9,4,8.6,5.1,116,0,1,0,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3
"1403",1.8,20.1,37.9,4,8.6,5.1,115,0,1,0,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3
"1405",1.8,20.17,37.9,4,8.6,5.1,114,0,1,0,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3
"1407",1.8,20.24,37.9,4,8.6,5.1,139,0,1,0,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3
"1409",1.8,20.41,37.9,4,8.6,5.1,139,0,1,0,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3
"1411",1.8,20.47,37.9,4,8.6,5.1,139,0,1,0,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3
"1413",1.8,20.53,37.9,4,8.6,5.1,139,0,1,0,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3
"1415",1.8,20.59,37.9,4,8.6,5.1,138,0,1,0,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3
"1417",1.8,20.66,37.9,4,8.6,5.1,137,0,1,0,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3
"1419",1.8,20.87,37.9,4,8.6,5.1,138,0,1,0,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3
"1421",1.8,20.93,37.9,4,8.6,5.1,137,0,1,0,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3
"1423",1.8,21,37.9,4,8.6,5.1,136,0,1,0,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3
"1425",1.8,21.07,37.9,4,8.6,5.1,135,0,1,0,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3
"1427",1.8,21.15,37.9,4,8.6,5.1,134,0,1,0,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3
"1429",1.8,21.34,37.9,4,8.6,5.1,131,0,1,0,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3
"1431",1.8,21.41,37.9,4,8.6,5.1,130,0,0,1,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3
"1433",1.8,21.44,37.9,4,10.4,5.1,129,0,0,1,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3
"1435",1.8,21.43,37.9,4,10.7,5.1,63,0,0,1,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3
"1437",1.7,21.47,37.9,4,16.3,5.1,63,0,0,1,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3
"1439",1.7,21.57,37.9,4,36.1,25.4,63,0,0,1,1.7,1.7,1.5,1.8,1.8,1.3,1.8,1.8,1.3,1.8,1.8,1.3
"1441",1.7,21.61,37.9,4,42.2,25.4,63,0,0,1,1.7,1.7,1.5,1.7,1.7,1.5,1.8,1.8,1.3,1.8,1.8,1.3
"1443",1.7,21.63,37.9,4,42.7,25.4,63,0,0,1,1.7,1.7,1.5,1.7,1.7,1.5,1.7,1.7,1.5,1.8,1.8,1.3
"1445",1.7,21.67,37.9,4,42.7,25.4,63,0,0,1,1.7,1.7,1.5,1.7,1.7,1.5,1.7,1.7,1.5,1.7,1.7,1.5
"1447",1.7,21.7,37.9,4,42.7,25.4,63,0,0,1,1.7,1.7,1.5,1.7,1.7,1.5,1.7,1.7,1.5,1.7,1.7,1.5
"1449",1.7,21.78,37.9,6,43.5,25.4,63,0,0,1,1.7,1.7,1.5,1.7,1.7,1.5,1.7,1.7,1.5,1.7,1.7,1.5
"1452",1.7,21.81,37.9,6,43.5,25.4,63,0,0,1,1.7,1.7,1.5,1.7,1.7,1.5,1.7,1.7,1.5,2,2,1.75
"1454",1.7,21.84,37.9,6,43.5,25.4,63,0,0,1,1.7,1.7,1.5,1.7,1.7,1.5,1.7,1.7,1.5,2,2,1.75
"1455",1.7,21.86,37.9,6,43.5,25.4,84,0,0,1,1.7,1.7,1.5,1.7,1.7,1.5,1.7,1.7,1.5,2,2,1.75
"1457",1.7,21.89,37.9,6,81.6,38.1,84,0,0,1,1.7,1.7,1.5,1.7,1.7,1.5,1.7,1.7,1.5,2.3,2.3,2
"1459",1.7,21.89,37.9,6,86.2,38.1,84,0,0,1,1.7,1.7,1.5,1.7,1.7,1.5,1.7,1.7,1.5,1.7,1.7,1.5
"1461",1.7,21.92,37.9,6,86.2,38.1,84,0,0,1,1.7,1.7,1.5,1.7,1.7,1.5,1.7,1.7,1.5,1.7,1.7,1.5
"1463",1.7,21.95,37.9,6,86.5,38.1,84,0,0,1,1.7,1.7,1.5,1.7,1.7,1.5,1.7,1.7,1.5,1.7,1.7,1.5
"1465",1.7,21.97,37.9,6,86.5,38.1,84,0,0,1,1.7,1.7,1.5,1.7,1.7,1.5,1.7,1.7,1.5,1.7,1.7,1.5
"1467",1.7,21.99,37.9,6,86.5,38.1,84,0,0,1,1.7,1.7,1.5,1.7,1.7,1.5,1.7,1.7,1.5,1.7,1.7,1.5
"1468",4,24.71,41.2,2.9,17.2,11.4,64,0,0,1,2,2,1.75,2,2,1.75,2,2,1.75,2,2,1.75
"1469",3,21.82,36.8,4.4,1.3,1.3,92,0,0,1,2,2,1.75,2,2,1.75,2,2,1.75,2,2,1.75
"1470",4,24.79,41.2,2.9,17.2,11.4,63,0,0,1,4,4,3.8,2,2,1.75,2,2,1.75,2,2,1.75
"1471",3,21.83,36.8,4.4,1.3,1.3,91,0,0,1,3,3,2.8,2,2,1.75,2,2,1.75,2,2,1.75
"1472",4,24.84,41.2,2.9,18.5,11.4,62,0,0,1,4,4,3.8,4,4,3.8,2,2,1.75,2,2,1.75
"1473",3,21.84,36.8,4.4,1.3,1.3,90,0,0,1,3,3,2.8,3,3,2.8,2,2,1.75,2,2,1.75
"1474",4,24.85,41.2,2.9,19.5,11.4,61,0,0,1,4,4,3.8,4,4,3.8,4,4,3.8,2,2,1.75
"1475",3,21.82,36.8,4.4,1.3,1.3,89,0,0,1,3,3,2.8,3,3,2.8,3,3,2.8,2,2,1.75
"1476",4,24.97,41.2,2.9,24.3,11.4,58,0,0,1,4,4,3.8,4,4,3.8,4,4,3.8,4,4,3.8
"1477",3,21.93,36.8,4.4,1.3,1.3,86,0,0,1,3,3,2.8,3,3,2.8,3,3,2.8,3,3,2.8
"1478",4,25.01,41.2,2.9,24.3,11.4,57,0,0,1,4,4,3.8,4,4,3.8,4,4,3.8,4,4,3.8
"1479",3,21.99,36.8,4.4,1.3,1.3,85,0,0,1,3,3,2.8,3,3,2.8,3,3,2.8,3,3,2.8
"1480",4,25.08,41.2,2.9,24.3,11.4,56,0,0,1,4,4,3.8,4,4,3.8,4,4,3.8,4,4,3.8
"1481",3,22.1,36.8,4.4,1.3,1.3,84,0,0,1,3,3,2.8,3,3,2.8,3,3,2.8,3,3,2.8
"1482",3.5,25.13,41.2,4,29.6,11.4,55,0,0,1,4,4,3.8,4,4,3.8,4,4,3.8,4,4,3.8
"1483",3,22.25,36.8,4.4,1.3,1.3,83,0,0,1,3,3,2.8,3,3,2.8,3,3,2.8,3,3,2.8
"1484",3.5,25.18,41.2,4,34.7,11.4,54,0,0,1,3.5,3.5,3.4,4,4,3.8,4,4,3.8,4,4,3.8
"1485",3,22.34,36.8,4.4,1.3,1.3,82,0,0,1,3,3,2.8,3,3,2.8,3,3,2.8,3,3,2.8
